단어,갈래,레벨,CEFR,배정챕터,챕터명,실측최빈,일치,성격
other,정도와 범위말,레벨1,A1,11,우주와 과학,ch8,X,추상(스토리 몫)
particular,정도와 범위말,레벨2,B2,11,우주와 과학,ch8,X,추상(스토리 몫)
perhaps,정도와 범위말,레벨1,A2,11,우주와 과학,ch8,X,추상(스토리 몫)
plus,정도와 범위말,레벨1,A2,11,우주와 과학,ch8,X,추상(스토리 몫)
possible,정도와 범위말,레벨1,A2,11,우주와 과학,ch8,X,추상(스토리 몫)
probable,정도와 범위말,레벨2,B2,11,우주와 과학,ch8,X,추상(스토리 몫)
section,정도와 범위말,레벨1,A1,11,우주와 과학,ch8,X,추상(스토리 몫)
session,정도와 범위말,레벨2,B1,11,우주와 과학,ch8,X,추상(스토리 몫)
somewhat,정도와 범위말,레벨2,B2,11,우주와 과학,ch8,X,추상(스토리 몫)
such,정도와 범위말,레벨1,A2,11,우주와 과학,ch8,X,추상(스토리 몫)
various,정도와 범위말,레벨2,B1,11,우주와 과학,ch8,X,추상(스토리 몫)
benefit,좋고 나쁨,레벨2,B1,11,우주와 과학,ch11,O,추상(스토리 몫)
correct,좋고 나쁨,레벨1,A1,11,우주와 과학,ch11,O,추상(스토리 몫)
fair,좋고 나쁨,레벨1,A1,11,우주와 과학,ch11,O,추상(스토리 몫)
fortunate,좋고 나쁨,레벨2,B1,11,우주와 과학,ch11,O,추상(스토리 몫)
fortune,좋고 나쁨,레벨1,A2,11,우주와 과학,ch11,O,추상(스토리 몫)
increase,좋고 나쁨,레벨1,A2,11,우주와 과학,ch11,O,추상(스토리 몫)
perfect,좋고 나쁨,레벨1,A2,11,우주와 과학,ch11,O,추상(스토리 몫)
proper,좋고 나쁨,레벨1,A2,11,우주와 과학,ch11,O,추상(스토리 몫)
quality,좋고 나쁨,레벨1,A2,11,우주와 과학,ch11,O,추상(스토리 몫)
reduce,좋고 나쁨,레벨2,B1,11,우주와 과학,ch11,O,추상(스토리 몫)
gorgeous,놀람과 궁금함,레벨2,B1,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
hell,놀람과 궁금함,레벨2,B2,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
impress,놀람과 궁금함,레벨1,A2,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
surprise,놀람과 궁금함,레벨1,A1,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
illustrate,드러남과 감춤,레벨2,B2,12,밤과 꿈,ch2,X,장면에 넣을 수 있음
claim,따지고 다투기,레벨1,A2,12,밤과 꿈,ch7,X,장면에 넣을 수 있음
convince,따지고 다투기,레벨2,B1,12,밤과 꿈,ch7,X,장면에 넣을 수 있음
debate,따지고 다투기,레벨1,A2,12,밤과 꿈,ch7,X,장면에 넣을 수 있음
deny,따지고 다투기,레벨2,B1,12,밤과 꿈,ch7,X,장면에 넣을 수 있음
insist,따지고 다투기,레벨2,B1,12,밤과 꿈,ch7,X,장면에 넣을 수 있음
belief,믿음과 의심,레벨2,B1,12,밤과 꿈,ch12,O,추상(스토리 몫)
evidence,믿음과 의심,레벨1,A2,12,밤과 꿈,ch12,O,추상(스토리 몫)
prove,믿음과 의심,레벨2,B1,12,밤과 꿈,ch12,O,추상(스토리 몫)
rely,믿음과 의심,레벨2,B1,12,밤과 꿈,ch12,O,추상(스토리 몫)
trust,믿음과 의심,레벨1,A2,12,밤과 꿈,ch12,O,추상(스토리 몫)
truth,믿음과 의심,레벨1,A2,12,밤과 꿈,ch12,O,추상(스토리 몫)
bore,바람과 아쉬움,레벨2,B1,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
lack,바람과 아쉬움,레벨1,A2,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
pity,바람과 아쉬움,레벨1,A2,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
sore,바람과 아쉬움,레벨2,B1,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
communicate,소리내어 말하기,레벨1,A2,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
converse,소리내어 말하기,레벨2,B2,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
instruct,소리내어 말하기,레벨2,B2,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
joke,소리내어 말하기,레벨1,A2,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
pray,소리내어 말하기,레벨1,A1,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
pretend,소리내어 말하기,레벨1,A2,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
reply,소리내어 말하기,레벨1,A2,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
respond,소리내어 말하기,레벨2,B1,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
sentence,소리내어 말하기,레벨1,A1,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
speech,소리내어 말하기,레벨1,A1,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
whisper,소리내어 말하기,레벨2,B1,12,밤과 꿈,ch12,O,장면에 넣을 수 있음
boom,소리와 음악,레벨2,B1,12,밤과 꿈,ch9,X,장면에 넣을 수 있음
advance,가고 오기,레벨2,B1,2,숲과 생명,ch2,O,장면에 넣을 수 있음
leave,가고 오기,레벨1,A1,2,숲과 생명,ch2,O,장면에 넣을 수 있음
proceed,가고 오기,레벨2,B1,2,숲과 생명,ch2,O,장면에 넣을 수 있음
giraffe,동물,레벨2,B1,2,숲과 생명,ch2,O,장면에 넣을 수 있음
zebra,동물,레벨2,B2,2,숲과 생명,ch2,O,장면에 넣을 수 있음
county,땅과 물길,레벨2,B1,2,숲과 생명,ch2,O,장면에 넣을 수 있음
highway,땅과 물길,레벨1,A2,2,숲과 생명,ch2,O,장면에 넣을 수 있음
pollute,땅과 물길,레벨1,A2,2,숲과 생명,ch2,O,장면에 넣을 수 있음
blind,몸과 감각,레벨2,B1,2,숲과 생명,ch2,O,장면에 넣을 수 있음
breathe,몸과 감각,레벨1,A1,2,숲과 생명,ch2,O,장면에 넣을 수 있음
cough,몸과 감각,레벨2,B1,2,숲과 생명,ch2,O,장면에 넣을 수 있음
tear,몸과 감각,레벨1,A2,2,숲과 생명,ch2,O,장면에 넣을 수 있음
belong,갖고 지니기,레벨1,A2,3,우리 집,ch3,O,장면에 넣을 수 있음
gain,갖고 지니기,레벨2,B1,3,우리 집,ch3,O,장면에 넣을 수 있음
lose,갖고 지니기,레벨1,A2,3,우리 집,ch3,O,장면에 넣을 수 있음
maintain,갖고 지니기,레벨2,B1,3,우리 집,ch3,O,장면에 넣을 수 있음
own,갖고 지니기,레벨1,A1,3,우리 집,ch3,O,장면에 넣을 수 있음
burst,만들고 고치기,레벨2,B1,3,우리 집,ch3,O,장면에 넣을 수 있음
damage,만들고 고치기,레벨2,B1,3,우리 집,ch3,O,장면에 넣을 수 있음
decorate,만들고 고치기,레벨2,B2,3,우리 집,ch3,O,장면에 넣을 수 있음
establish,만들고 고치기,레벨1,A2,3,우리 집,ch3,O,장면에 넣을 수 있음
invent,만들고 고치기,레벨1,A2,3,우리 집,ch3,O,장면에 넣을 수 있음
object,만들고 고치기,레벨2,B1,3,우리 집,ch3,O,장면에 넣을 수 있음
produce,만들고 고치기,레벨1,A2,3,우리 집,ch3,O,장면에 넣을 수 있음
