단어,갈래,레벨,CEFR근거
guilt,규칙과 사회,레벨2,B1
innocent,규칙과 사회,레벨2,B1
judge,규칙과 사회,레벨1,A1
justice,규칙과 사회,레벨2,B1
law,규칙과 사회,레벨1,A2
legal,규칙과 사회,레벨2,B1
license,규칙과 사회,레벨2,미수록|로부장수기
moral,규칙과 사회,레벨2,B1
policy,규칙과 사회,레벨2,B1
politics,규칙과 사회,레벨2,B1
principle,규칙과 사회,레벨2,B1
privacy,규칙과 사회,레벨2,B1
private,규칙과 사회,레벨1,A2
public,규칙과 사회,레벨1,A2
responsible,규칙과 사회,레벨2,B1
rule,규칙과 사회,레벨1,A1
standard,규칙과 사회,레벨2,B1
vote,규칙과 사회,레벨1,A1
admire,기쁨과 슬픔,레벨1,A2
amuse,기쁨과 슬픔,레벨2,B2
appreciate,기쁨과 슬픔,레벨1,A2
calm,기쁨과 슬픔,레벨2,B1
cheer,기쁨과 슬픔,레벨1,A2
comfort,기쁨과 슬픔,레벨2,B1
delight,기쁨과 슬픔,레벨2,B1
entertain,기쁨과 슬픔,레벨2,B1
excite,기쁨과 슬픔,레벨1,미수록|로부장수기
glory,기쁨과 슬픔,레벨2,B1
honor,기쁨과 슬픔,레벨2,미수록|로부장수기
humor,기쁨과 슬픔,레벨2,미수록|로부장수기
joy,기쁨과 슬픔,레벨1,A2
laugh,기쁨과 슬픔,레벨1,A1
peace,기쁨과 슬픔,레벨1,A1
pride,기쁨과 슬픔,레벨1,A2
proud,기쁨과 슬픔,레벨2,B1
relax,기쁨과 슬픔,레벨1,A2
relief,기쁨과 슬픔,레벨2,B2
satisfy,기쁨과 슬픔,레벨1,A2
anger,화와 두려움,레벨2,B1
annoy,화와 두려움,레벨1,A2
anxious,화와 두려움,레벨1,A2
bother,화와 두려움,레벨1,A2
concern,화와 두려움,레벨1,A2
cruel,화와 두려움,레벨2,B1
disturb,화와 두려움,레벨1,A2
fear,화와 두려움,레벨1,A2
fright,화와 두려움,레벨2,B1
frustrate,화와 두려움,레벨2,미수록|로부장수기
panic,화와 두려움,레벨1,A2
rude,화와 두려움,레벨1,A1
scare,화와 두려움,레벨2,B1
shock,화와 두려움,레벨1,A2
stress,화와 두려움,레벨2,B1
tense,화와 두려움,레벨2,B1
trouble,화와 두려움,레벨1,A2
upset,화와 두려움,레벨1,A2
awkward,부끄러움과 미움,레벨2,B1
blame,부끄러움과 미움,레벨1,A2
disgust,부끄러움과 미움,레벨2,미수록|로부장수기
embarrass,부끄러움과 미움,레벨2,B1
ignore,부끄러움과 미움,레벨2,B1
shame,부끄러움과 미움,레벨2,B1
silly,부끄러움과 미움,레벨1,A2
bore,바람과 아쉬움,레벨2,B1
depress,바람과 아쉬움,레벨2,미수록|로부장수기
desire,바람과 아쉬움,레벨2,B1
desperate,바람과 아쉬움,레벨2,B1
disappoint,바람과 아쉬움,레벨2,B1
hesitate,바람과 아쉬움,레벨2,B1
lack,바람과 아쉬움,레벨1,A2
pity,바람과 아쉬움,레벨1,A2
sore,바람과 아쉬움,레벨2,B1
amaze,놀람과 궁금함,레벨2,B2
angel,놀람과 궁금함,레벨1,A2
brilliant,놀람과 궁금함,레벨1,A2
clue,놀람과 궁금함,레벨1,A2
curious,놀람과 궁금함,레벨2,B1
fancy,놀람과 궁금함,레벨1,A2
fantastic,놀람과 궁금함,레벨1,A2
fascinate,놀람과 궁금함,레벨2,B1
ghost,놀람과 궁금함,레벨1,A1
gorgeous,놀람과 궁금함,레벨2,B1
hell,놀람과 궁금함,레벨2,B2
impress,놀람과 궁금함,레벨1,A2
magic,놀람과 궁금함,레벨1,A2
marvel,놀람과 궁금함,레벨2,미수록|로부장수기
mystery,놀람과 궁금함,레벨1,A2
puzzle,놀람과 궁금함,레벨2,B1
strange,놀람과 궁금함,레벨1,A1
surprise,놀람과 궁금함,레벨1,A1
trick,놀람과 궁금함,레벨1,A2
wonder,놀람과 궁금함,레벨1,A2
belief,믿음과 의심,레벨2,B1
confirm,믿음과 의심,레벨2,B1
doubt,믿음과 의심,레벨1,A2
evidence,믿음과 의심,레벨1,A2
faith,믿음과 의심,레벨2,B2
prove,믿음과 의심,레벨2,B1
rely,믿음과 의심,레벨2,B1
trust,믿음과 의심,레벨1,A2
truth,믿음과 의심,레벨1,A2
analysis,생각하기,레벨2,B1
assume,생각하기,레벨2,B1
attention,생각하기,레벨1,A2
attitude,생각하기,레벨1,A2
concentrate,생각하기,레벨1,A2
concept,생각하기,레벨2,B1
confuse,생각하기,레벨1,A2
consider,생각하기,레벨1,A2
context,생각하기,레벨1,A2
define,생각하기,레벨2,B1
detect,생각하기,레벨2,B2
determine,생각하기,레벨2,B1
examine,생각하기,레벨2,B1
imagine,생각하기,레벨1,A1
inspect,생각하기,레벨2,B2
investigate,생각하기,레벨2,B2
method,생각하기,레벨1,A2
notice,생각하기,레벨1,A2
observe,생각하기,레벨2,B1
opinion,생각하기,레벨1,A2
reason,생각하기,레벨1,A1
recognize,생각하기,레벨2,미수록|로부장수기
reflect,생각하기,레벨1,A2
regard,생각하기,레벨2,B1
remind,생각하기,레벨1,A2
solve,생각하기,레벨1,A1
strategy,생각하기,레벨1,A2
suppose,생각하기,레벨2,B1
tend,생각하기,레벨2,B1
theory,생각하기,레벨2,B1
article,글과 기록,레벨1,A1
catalog,글과 기록,레벨2,미수록|로부장수기
chart,글과 기록,레벨1,A2
comedy,글과 기록,레벨2,B1
copy,글과 기록,레벨1,A1
diary,글과 기록,레벨1,A2
dictionary,글과 기록,레벨1,A1
document,글과 기록,레벨2,B1
drama,글과 기록,레벨1,A1
edit,글과 기록,레벨2,B2
envelope,글과 기록,레벨1,A2
essay,글과 기록,레벨1,A2
graph,글과 기록,레벨2,B1
language,글과 기록,레벨1,A1
list,글과 기록,레벨1,A1
magazine,글과 기록,레벨1,A1
photo,글과 기록,레벨1,A1
photograph,글과 기록,레벨1,A2
poem,글과 기록,레벨1,A1
record,글과 기록,레벨1,A2
register,글과 기록,레벨2,B1
scene,글과 기록,레벨1,A2
spell,글과 기록,레벨1,A1
text,글과 기록,레벨1,A2
title,글과 기록,레벨1,A2
topic,글과 기록,레벨1,A1
assess,배움과 가르침,레벨2,B2
attend,배움과 가르침,레벨2,B1
educate,배움과 가르침,레벨2,B1
experience,배움과 가르침,레벨1,A2
experiment,배움과 가르침,레벨2,B1
grade,배움과 가르침,레벨1,A1
knowledge,배움과 가르침,레벨1,A2
measure,배움과 가르침,레벨2,B1
practice,배움과 가르침,레벨1,A1
research,배움과 가르침,레벨1,A2
skill,배움과 가르침,레벨1,A1
subject,배움과 가르침,레벨1,A1
survey,배움과 가르침,레벨1,A1
technique,배움과 가르침,레벨2,B1
arrange,만들고 고치기,레벨2,B1
attach,만들고 고치기,레벨2,B1
bend,만들고 고치기,레벨1,A2
bind,만들고 고치기,레벨2,B2
