원본대표파일,세트,프롬프트번호,버전수,선택한BestTake,배정챕터,새파일명,상태
010_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,3차완성본,010,1,010_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch5,ch5_15.mp4,옮김완료
School_bus_line-reveal_animation_202608251239.mp4,3차완성본,011,1,School_bus_line-reveal_animation_202608251239.mp4,ch5,ch5_16.mp4,옮김완료
001_Progressive-detailed-fine-pencil-construction-tran (1).mp4,11차완성본_Set12_음악소리,001,3,001_Progressive-detailed-fine-pencil-construction-tran (1).mp4,ch9,ch9_02.mp4,옮김완료
002_Progressive-detailed-fine-pencil-construction-tran (1).mp4,11차완성본_Set12_음악소리,002,3,002_Progressive-detailed-fine-pencil-construction-tran (2).mp4,ch9,ch9_03.mp4,옮김완료
003_Progressive-detailed-fine-pencil-construction-tran (1).mp4,11차완성본_Set12_음악소리,003,3,003_Progressive-detailed-fine-pencil-construction-tran (2).mp4,ch9,ch9_04.mp4,옮김완료
004_Progressive-detailed-fine-pencil-construction-tran (1).mp4,11차완성본_Set12_음악소리,004,3,004_Progressive-detailed-fine-pencil-construction-tran (2).mp4,ch9,ch9_05.mp4,옮김완료
005_Progressive-detailed-fine-pencil-construction-tran (1).mp4,11차완성본_Set12_음악소리,005,3,005_Progressive-detailed-fine-pencil-construction-tran (2).mp4,ch9,ch9_06.mp4,옮김완료
001_Cinematic-progressive-line-reveal-animation-on-a-s (1).mp4,4차완성본,001,2,001_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch12,ch12_05.mp4,옮김완료
002_Cinematic-progressive-line-reveal-animation-on-a-s (1).mp4,4차완성본,002,2,002_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch12,ch12_06.mp4,옮김완료
003_Cinematic-progressive-line-reveal-animation-on-a-s (1).mp4,4차완성본,003,2,003_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch12,ch12_07.mp4,옮김완료
004_Cinematic-progressive-line-reveal-animation-on-a-s (1).mp4,4차완성본,004,2,004_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch12,ch12_08.mp4,옮김완료
005_Cinematic-progressive-line-reveal-animation-on-a-s (1).mp4,4차완성본,005,2,005_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch12,ch12_09.mp4,옮김완료
006_Progressive-detailed-fine-pencil-construction-tran (1).mp4,11차완성본_Set12_음악소리,006,3,006_Progressive-detailed-fine-pencil-construction-tran (2).mp4,ch9,ch9_07.mp4,옮김완료
007_Progressive-detailed-fine-pencil-construction-tran (1).mp4,11차완성본_Set12_음악소리,007,3,007_Progressive-detailed-fine-pencil-construction-tran (2).mp4,ch9,ch9_08.mp4,옮김완료
